date,zone,district,flooding_point,direction,reference,start,period,type
30/01/2019,Zona Norte,Casa Verde,MARGINAL TIETE,A SENNA/CASTELO BRANCO - EXP,PTE DA CASA VERDE - JORN. WALTER ABRAHAO,17:23,18:45,INTRANSITÁVEL
30/01/2019,Zona Norte,Casa Verde,AV. ANTONIO MUNHOZ BONILHA,AMBOS,AV. NSRA. DO O ,17:24,19:58,INTRANSITÁVEL
30/01/2019,Zona Norte,Casa Verde,AV. BRAZ LEME,BAIRRO/CENTRO,R. DR MELLO NOGUEIRA,17:30,18:23,INTRANSITÁVEL
30/01/2019,Zona Norte,Casa Verde,AV. OLAVO FONTOURA,C VERDE/SANTANA,PTE DA CASA VERDE - JORN. WALTER ABRAHAO,18:02,18:45,TRANSITÁVEL
30/01/2019,Zona Norte,Jaçanã/Tremembé,AV. EDU CHAVES,AMBOS,AV. SANATÓRIO,17:10,18:11,INTRANSITÁVEL
30/01/2019,Zona Norte,Vila Maria/Vila Guilherme,AV. GAL ATALIBA LEONEL,CENTRO/BAIRRO,AV. LUIZ DUMONT VILLARES,17:15,18:03,TRANSITÁVEL
30/01/2019,Zona Norte,Vila Maria/Vila Guilherme,AV. LUIZ DUMONT VILLARES,AMBOS,R. MARIA CANDIDA,17:17,18:13,TRANSITÁVEL
30/01/2019,Zona Norte,Santana,R. MANUEL TAVEIRA,UNICO,ALTURA DO NÚMERO 100,17:10,18:22,INTRANSITÁVEL
30/01/2019,Zona Norte,Santana,R. DARZAN,UNICO,AV. CRUZEIRO DO SUL,17:11,18:01,INTRANSITÁVEL
30/01/2019,Zona Norte,Santana,R. ESTEFÂNIA LOURO,UNICO,R. PAULO AVELAR,17:15,18:22,INTRANSITÁVEL
30/01/2019,Zona Norte,Santana,R. MAJ SAMPAIO,AMBOS,R. DR ZUQUIM,17:27,19:08,INTRANSITÁVEL
30/01/2019,Centro,Sé,R. DA CANTAREIRA,AMBOS,AV. MERCURIO,16:59,18:00,INTRANSITÁVEL
30/01/2019,Centro,Sé,MARGINAL TIETE,CASTELO B/A SENNA - LOCAL,PTE DAS BANDEIRAS SEN ROMEU TUMA,17:06,17:55,INTRANSITÁVEL
30/01/2019,Centro,Sé,AV. RIO BRANCO,BAIRRO/CENTRO,ALTURA DO NÚMERO 621,17:16,18:41,INTRANSITÁVEL
30/01/2019,Centro,Sé,AV. RIO BRANCO,AMBOS,AV. DUQUE DE CAXIAS,17:19,19:05,INTRANSITÁVEL
30/01/2019,Centro,Sé,AV. IPIRANGA,CENTRO/BAIRRO,AV. CASPER LIBERO,18:14,18:54,TRANSITÁVEL
30/01/2019,Centro,Sé,AV. SANTOS DUMONT,AEROPORTO/SANTANA,R. GUAPORE,18:21,19:08,TRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,PÇ. PASCOAL MARTINS,AMBOS,AV. MARQ. DE SAO VICENTE,17:16,17:28,TRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,AV. MARQ DE SAO VICENTE,AMBOS,PÇ. PASCOAL MARTINS,17:17,19:46,INTRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,R. TRAJANO,UNICO,PÇ. MALVIN JONES ,17:20,18:05,TRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,R. CORIOLANO,UNICO,R. JEROAQUARA,17:21,19:09,TRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,R. PALESTRA ITALIA,AMBOS,AV. POMPEIA,17:30,17:57,TRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,MARGINAL TIETE,CASTELO B/A SENNA - LOCAL,PTE DO LIMAO - ADHEMAR F DA SILVA,17:41,18:26,INTRANSITÁVEL
30/01/2019,Zona Oeste,Lapa,AV. ORDEM E PROGRESSO,AMBOS,ALTURA DO NÚMERO 247,18:24,18:54,TRANSITÁVEL
