date,zone,district,flooding_point,direction,reference,start,period,type
22/01/2019,Zona Oeste,Pinheiros,MARGINAL PINHEIROS,INTERLAGOS/CASTELO - EXPRESSA,PTE ENG ARY TORRES,16:35,18:51,TRANSITÁVEL
22/01/2019,Zona Oeste,Pinheiros,R. GUARARAPES,BAIRRO/CENTRO,AV DAS NACOES UNIDAS,16:56,17:51,TRANSITÁVEL
22/01/2019,Zona Leste,Mooca,MARGINAL TIETE,CASTELO B/ A SENNA - CENTRAL,PTE PRES JANIO QUADROS,16:27,21:00,TRANSITÁVEL
22/01/2019,Zona Sul,M'Boi Mirim,AV. ENG LUIZ CARLOS BERRINI,AMBOS - CORREDOR DE ONIBUS,PÇ. PROCÓPIO FERREIRA,16:25,18:10,TRANSITÁVEL
23/01/2019,Zona Norte,Perus,R. FRANCIS DE CASTELNAU,UNICO,R. BERNARDO JOSÉ DE LORENA,17:40,19:10,INTRANSITÁVEL
23/01/2019,Zona Norte,Perus,PÇ. INACIO DIAS,UNICO,AV. COM FIORELLI PUCCICACCO,18:00,19:10,TRANSITÁVEL
24/01/2019,Zona Norte,Vila Maria/Vila Guilherme,AV. AL ATALIBA LEONEL,CENTRO/BAIRRO,AV. LUIZ DUMONT VILLARES,15:53,16:22,INTRANSITÁVEL
24/01/2019,Zona Norte,Vila Maria/Vila Guilherme,AV. LUIZ DUMONT VILLARES,AMBOS,R. MARIA CANDIDA,16:07,16:23,TRANSITÁVEL
24/01/2019,Zona Norte,Perus,R. BERNARDO JOSE DE LORENA,AMBOS,R. FRANCIS DE CASTELNAU,16:42,18:14,INTRANSITÁVEL
24/01/2019,Centro,Sé,AV. RIO BRANCO,BAIRRO/CENTRO,AV. DUQUE DE CAXIAS,16:04,16:43,TRANSITÁVEL
24/01/2019,Centro,Sé,PÇ. DA BANDEIRA,BAIRRO/CENTRO,AV. VINTE E TRES DE MAIO,16:22,16:50,INTRANSITÁVEL
24/01/2019,Centro,Sé,AV. NOVE DE JULHO,AMBOS,PÇ. DA BANDEIRA,16:23,17:40,TRANSITÁVEL
24/01/2019,Centro,Sé,AV. PRES CASTELO BRANCO,CASTELO B/A SENNA - LOCAL,PTE DAS BANDEIRAS SEN ROMEU TUMA,16:29,17:13,INTRANSITÁVEL
24/01/2019,Centro,Sé,PÇ. DA BANDEIRA,CENTRO/BAIRRO,ALTURA DO NÚMERO 0,16:32,16:40,TRANSITÁVEL
24/01/2019,Centro,Sé,R. TEIXEIRA LEITE,CENTRO/BAIRRO,VD. DO GLICERIO,16:38,17:45,TRANSITÁVEL
24/01/2019,Centro,Sé,AV. RIO BRANCO,BAIRRO/CENTRO,R. DOS GUSMOES,16:45,18:19,TRANSITÁVEL
24/01/2019,Centro,Sé,AV. SANTOS DUMONT,AEROPORTO/SANTANA,AV. DO ESTADO,16:52,18:28,INTRANSITÁVEL
24/01/2019,Centro,Sé,R. TEIXEIRA LEITE,CENTRO/BAIRRO,R. S. PAULO,17:06,17:42,INTRANSITÁVEL
24/01/2019,Zona Oeste,Butantã,ROD. RAPOSO TAVARES,AMBOS,KM 16,16:35,18:30,INTRANSITÁVEL
24/01/2019,Zona Oeste,Butantã,R. DOS PIEMONTESES,AMBOS,ALTURA DO NÚMERO 160,17:33,18:30,INTRANSITÁVEL
24/01/2019,Zona Oeste,Lapa,AV. MARQ DE SAO VICENTE,AMBOS,PÇ. PASCOAL MARTINS,16:21,17:27,TRANSITÁVEL
24/01/2019,Zona Oeste,Lapa,AV. MARQ DE SAO VICENTE,AMBOS,ALTURA DO NÚMERO 1612,16:34,17:15,TRANSITÁVEL
